idPowiatu;nazwa;idWojewodztwa_FK
1;Wroc³aw;1
2;k³odzki;1
3;œwidnicki;1
4;Bydgoszcz;2
5;Toruñ;2
6;inowroc³awski;2
7;Lublin;3
8;pu³awski;3
9;bialski;3
10;Zielona Góra;4
11;Gorzów Wielkopolski;4
12;¿arski;4
13;£ódŸ;5
14;zgierski;5
15;sieradzki;5
16;Kraków;6
17;nowos¹decki;6
18;Tarnów;6
19;Warszawa;7
20;wo³omiñski;7
21;piaseczyñski;7
22;Opole;8
23;nyski;8
24;kêdzierzyñsko-kozielski;8
25;Rzeszów;9
26;mielecki;9
27;dêbicki;9
28;Bia³ystok;10
29;Suwa³ki;10
30;sokólski;10
31;Gdañsk;11
32;Gdynia;11
33;wejherowski;11
34;Katowice;12
35;Czêstochowa;12
36;Gliwice;12
37;Kielce;13
38;kielecki;13
39;skar¿yski;13
40;Olsztyn;14
41;Elbl¹g;14
42;e³cki;14
43;Poznañ;15
44;ostrowski;15
45;gnieŸnieñski;15
46;Szczecin;16
47;stargardzki;16
48;Koszalin;16
