idUslugi;cena;kosztaWlasne;przychod;czasTrwania;satysfakcjaKlienta;idDnia_FK;idPracownika_FK;idSalonu_FK;idKlienta_FK;idMiejscowosci_FK;idTypuUslugi_FK
1;268,43;37,35;231,08;226;3;1969;611;23;11185;36;12
2;259,57;18,84;240,73;105;5;2864;625;1;1932;23;20
3;121,74;30,4;91,34;151;3;1473;641;19;13225;16;20
4;161,91;26,99;134,92;134;4;2798;90;2;2540;27;35
5;353,59;32,68;320,91;38;5;3317;839;22;6188;10;20
6;181,44;11,26;170,18;302;5;2291;265;1;11273;17;13
7;337,01;41,09;295,92;95;3;3147;599;22;12857;45;2
8;309,18;23,67;285,51;184;5;2468;247;17;6908;23;22
9;388,77;11,06;377,71;120;1;1226;400;31;6242;8;23
10;96,51;41,67;54,84;105;4;243;422;32;10125;27;32
11;300,58;23,92;276,66;293;4;3551;826;21;4575;13;13
12;381,6;39,29;342,31;398;5;1678;225;6;4277;36;37
13;186,97;31,79;155,18;361;4;2311;240;4;11159;32;24
14;202,71;32,73;169,98;219;5;2249;599;7;7351;5;32
15;187,96;28,94;159,02;187;5;2062;609;30;6501;33;14
16;320,78;12,53;308,25;244;3;884;44;24;3549;48;24
17;319,14;9,73;309,41;337;4;3407;615;15;8343;20;12
18;224,95;23,79;201,16;267;5;3059;697;25;9983;12;15
19;379,97;23,33;356,64;270;2;2868;622;9;7473;9;8
20;168,47;9,37;159,1;394;3;627;954;18;6934;26;11
21;202,28;29,16;173,12;247;4;580;669;32;10885;2;19
22;345,67;31,08;314,59;213;5;2057;582;8;10284;28;37
23;112,14;22,36;89,78;394;5;3531;203;28;14315;4;16
24;362,65;14,88;347,77;410;2;1694;487;7;6558;28;33
25;190,43;38,76;151,67;205;5;2829;327;21;2734;31;20
26;99,32;17,53;81,79;284;5;2480;626;1;8265;7;20
27;118,89;8,93;109,96;169;5;3007;318;17;6326;2;20
28;360,85;14;346,85;183;3;3432;263;31;2490;34;9
29;212,31;18,87;193,44;86;3;3628;8;18;8511;17;18
30;350,56;16,76;333,8;156;4;2274;436;17;13692;15;36
31;181,03;11,36;169,67;327;4;2151;56;8;12267;31;21
32;319,64;20,57;299,07;237;5;2861;515;4;10271;22;39
33;134,46;33,78;100,68;214;2;2351;104;29;15865;28;5
34;368,33;7,17;361,16;53;3;1817;263;30;6027;26;15
35;106,23;22,42;83,81;127;4;2429;463;20;19436;32;23
36;169,42;16,8;152,62;15;5;794;184;18;3417;3;34
37;229,9;28,4;201,5;268;5;823;292;32;18434;40;28
38;278,06;18,6;259,46;248;2;1693;266;28;13685;23;37
39;347,1;15,55;331,55;345;5;549;465;14;7583;25;20
40;299,7;11,61;288,09;102;1;1801;108;31;8722;14;18
41;217,22;34,81;182,41;154;3;330;584;29;5362;27;12
42;259,69;24,72;234,97;402;4;3464;991;31;19609;44;20
43;257,97;18,15;239,82;409;4;1687;603;21;14408;28;17
44;312,2;18,29;293,91;360;5;1803;6;1;4079;18;16
45;387,25;16;371,25;170;5;2469;36;18;7164;28;18
46;386,22;9,29;376,93;52;4;44;715;19;9869;21;15
47;218,16;38,4;179,76;411;4;1963;600;26;6297;29;28
48;175,53;26,98;148,55;224;4;1877;609;7;3118;26;38
49;209,86;11,44;198,42;391;1;2978;636;21;10560;26;20
50;341,39;29,42;311,97;178;5;407;146;32;19003;37;34
51;361,64;20,15;341,49;390;5;3577;620;22;3024;37;17
52;285,44;27,97;257,47;300;5;1360;592;20;14107;35;22
53;147,07;36,06;111,01;119;5;2996;675;33;16705;2;19
54;255,64;20,77;234,87;167;2;1619;885;20;6631;19;6
55;176,95;39,87;137,08;280;4;3116;326;3;19504;39;18
56;272,62;33,36;239,26;121;4;482;630;20;8149;7;37
